MeanTemp,Description,Incidents,Level
87,AAUTO THEFT,11.66666667,High
87,BURGLARY,16.66666667,High
87,COMMON ASSAULT,16.66666667,High
87,LARCENY,24.33333333,High
87,LARCENY FROM AUTO,14,High
87,ROBBERY - STREET,8,High
89,AGG. ASSAULT,21,High
89,AAUTO THEFT,6,High
89,BURGLARY,14,High
89,COMMON ASSAULT,26,High
89,LARCENY,23.5,High
89,LARCENY FROM AUTO,13.5,High
89,ROBBERY - STREET,10.5,High
90,AGG. ASSAULT,18,High
90,AAUTO THEFT,15,High
90,BURGLARY,16,High
90,COMMON ASSAULT,23,High
90,LARCENY,24,High
90,LARCENY FROM AUTO,21,High
90,ROBBERY - STREET,10,High
